State n. |  orientation | Speed | Steer | location(x,y) |NearPoint  | distance |controlerlocation 
[60.0, 7.5]  |   28.197306602660078  |[31.913738250732422, 4.9999998807907104] |[60.0, 7.5] | 27.072329101562502 | [30.  37.5 45.  52.5 60. ] | [60.0, 7.5]
20    |0.616113201807394   | 44.13211169400478  |-4.470348358154297e-07   |[4.853880941867828, 59.547776222229004]  |[90.0, 7.5]  |   29.742263979730396  |[60.37758255004883, 4.832669675350189] |[75.0, 7.499999999999997] | 11.621572334267592 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
21    |0.6792024407700266   | 41.50561547952711  |0.5999993160367012   |[4.832669675350189, 60.37758255004883]  |[90.0, 7.5]  |   28.97013817313286  |[61.15488243103027, 4.8114877343177795] |[75.0, 7.499999999999997] | 10.88664486066137 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
22    |0.74666889122237   | 38.88087450236203  |1.199999377131462   |[4.8114877343177795, 61.15488243103027]  |[90.0, 7.5]  |   28.25035997188472  |[61.879798889160156, 4.791286647319794] |[75.0, 7.499999999999997] | 10.153046917102161 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
23    |0.7799708116389892   | 36.26088184679343  |1.799999177455902   |[4.791286647319794, 61.879798889160156]  |[90.0, 7.5]  |   27.599394835191717  |[62.53531837463379, 4.776425421237946] |[75.0, 7.499999999999997] | 9.179634380811963 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
24    |0.7778743068431673   | 32.784408502899865  |2.399999052286148   |[4.776425421237946, 62.53531837463379]  |[90.0, 7.5]  |   27.01553888696816  |[63.1226282119751, 4.771222412586212] |[75.0, 7.499999999999997] | 8.221987944031968 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
25    |0.716938699147456   | 29.364242657257023  |2.999999523162842   |[4.771222412586212, 63.1226282119751]  |[90.0, 7.5]  |   26.494800128095566  |[63.644874572753906, 4.783053636550903] |[75.0, 7.499999999999997] | 7.311374186667033 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
26    |0.5483375392465255   | 26.112050666667972  |3.600001335144043   |[4.783053636550903, 63.644874572753906]  |[90.0, 7.5]  |   26.023929045755963  |[64.11400508880615, 4.824154257774353] |[75.0, 7.499999999999997] | 6.588339238016706 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
27    |0.24685402351412544   | 23.529782992916807  |4.200012683868408   |[4.824154257774353, 64.11400508880615]  |[90.0, 7.5]  |   25.562462482554636  |[64.56997871398926, 4.9012492299079895] |[75.0, 7.499999999999997] | 6.4678446655848845 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
28    |-0.07302093591572789   | 23.099445234231727  |4.200024902820587   |[4.9012492299079895, 64.56997871398926]  |[90.0, 7.5]  |   25.10555091299407  |[65.01908683776855, 5.00146758556366] |[75.0, 7.499999999999997] | 6.434913867516914 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
29    |-0.4172827637716445   | 22.981835241131833  |4.200040698051453   |[5.00146758556366, 65.01908683776855]  |[90.0, 7.5]  |   24.653477756648797  |[65.46143054962158, 5.12248557806015] |[75.0, 7.499999999999997] | 6.412865009239019 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
30    |-0.8867918839404674   | 22.90308931871078  |3.600059151649475   |[5.12248557806015, 65.46143054962158]  |[90.0, 7.5]  |   24.202319167663198  |[65.90221786499023, 5.252968788146973] |[75.0, 7.499999999999997] | 6.429944299504148 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
31    |-1.1989807700496649   | 22.964086783943383  |3.000071942806244   |[5.252968788146973, 65.90221786499023]  |[90.0, 7.5]  |   23.751340949334168  |[66.34255981445312, 5.3900898694992065] |[60.0, 7.499999999999998] | 6.452234853640074 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
32    |-1.4862179883856677   | 23.043695905857405  |2.400081902742386   |[5.3900898694992065, 66.34255981445312]  |[90.0, 7.5]  |   23.30041180572483  |[66.78287887573242, 5.531630873680115] |[60.0, 7.499999999999998] | 6.472065643441379 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
33    |-1.7584111172596615   | 23.11452015514778  |1.8000881373882294   |[5.531630873680115, 66.78287887573242]  |[90.0, 7.5]  |   22.84907318237068  |[67.22391128540039, 5.6751909255981445] |[60.0, 7.499999999999998] | 6.491414760313811 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
34    |-1.9798944315953613   | 23.183624143977895  |2.4000918865203857   |[5.6751909255981445, 67.22391128540039]  |[90.0, 7.5]  |   22.406198474185956  |[67.65520858764648, 5.842282652854919] |[60.0, 7.499999999999998] | 6.47235308209159 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
35    |-2.2656115826770735   | 23.115546721755678  |3.00010085105896   |[5.842282652854919, 67.65520858764648]  |[90.0, 7.5]  |   21.976099567740178  |[68.07269096374512, 6.036418557167053] |[60.0, 7.499999999999998] | 6.441353787783342 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
36    |-2.573972937954628   | 23.004834956369077  |3.6001119017601013   |[6.036418557167053, 68.07269096374512]  |[90.0, 7.5]  |   21.56259269493687  |[68.4731674194336, 6.258677005767822] |[60.0, 7.499999999999998] | 6.40601463716588 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
37    |-2.943384585803975   | 22.878623704163854  |4.200129210948944   |[6.258677005767822, 68.4731674194336]  |[90.0, 7.5]  |   21.170739737168212  |[68.85244369506836, 6.509503483772278] |[60.0, 7.499999999999998] | 6.357771309648037 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
38    |-3.477793834689968   | 22.706326105885843  |4.200155138969421   |[6.509503483772278, 68.85244369506836]  |[90.0, 7.5]  |   20.79617334275659  |[69.21627998352051, 6.780411243438721] |[60.0, 7.499999999999998] | 6.342467131218332 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
39    |-3.890535627037301   | 22.651668325779756  |4.200178384780884   |[6.780411243438721, 69.21627998352051]  |[90.0, 7.5]  |   20.440216349413223  |[69.56430244445801, 7.070221185684204] |[60.0, 7.499999999999998] | 6.331860424818994 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
40    |-4.312303592823063   | 22.613787231496406  |3.600205183029175   |[7.070221185684204, 69.56430244445801]  |[90.0, 7.5]  |   20.094732504334875  |[69.90568733215332, 7.370104551315308] |[60.0, 7.499999999999998] | 6.355005218842808 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
41    |-4.706296611135534   | 22.696447210152883  |3.0002224445343018   |[7.370104551315308, 69.90568733215332]  |[90.0, 7.5]  |   19.757938890779148  |[70.24285888671875, 7.677550673484802] |[60.0, 7.499999999999998] | 6.383267765061602 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
42    |-5.17394713104516   | 22.797384875220004  |2.4002349376678467   |[7.677550673484802, 70.24285888671875]  |[90.0, 7.5]  |   19.428974538743066  |[70.57721328735352, 7.9903141260147095] |[60.0, 7.499999999999998] | 6.406375372827613 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
43    |-5.451195200380872   | 22.8799120458129  |1.8002426624298096   |[7.9903141260147095, 70.57721328735352]  |[90.0, 7.5]  |   19.10645148265767  |[70.91056823730469, 8.306277394294739] |[60.0, 7.499999999999998] | 6.42812637564821 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
44    |-5.687405135510793   | 22.957594198743607  |1.2002474069595337   |[8.306277394294739, 70.91056823730469]  |[90.0, 7.5]  |   18.788972062579496  |[71.2446231842041, 8.62308132648468] |[60.0, 7.499999999999998] | 6.444425532638936 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
45    |-5.867567117273771   | 23.015805473710486  |0.6002497673034668   |[8.62308132648468, 71.2446231842041]  |[90.0, 7.5]  |   18.474840593838305  |[71.58122634887695, 8.93823230266571] |[60.0, 7.499999999999998] | 6.455165738330902 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
46    |-6.032439409739317   | 23.054163351181792  |0.0002497434616088867   |[8.93823230266571, 71.58122634887695]  |[90.0, 7.5]  |   18.16222203605233  |[71.92219161987305, 9.249043583869934] |[60.0, 7.499999999999998] | 6.459161581621366 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
47    |-6.097990318121055   | 23.068434220076306  |-0.599750280380249   |[9.249043583869934, 71.92219161987305]  |[90.0, 7.5]  |   17.8491291513683  |[72.26928901672363, 9.552632331848145] |[60.0, 7.499999999999998] | 6.455902223853096 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
48    |-6.107247966336359   | 23.056793656618197  |-1.1997497081756592   |[9.552632331848145, 72.26928901672363]  |[90.0, 7.5]  |   17.533477679487685  |[72.62416648864746, 9.845900535583496] |[60.0, 7.499999999999998] | 6.444894977627602 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
49    |-6.05858703826837   | 23.017482062955718  |-1.799749732017517   |[9.845900535583496, 72.62416648864746]  |[90.0, 7.5]  |   17.213186178071403  |[72.98822784423828, 10.125525951385498] |[60.0, 7.499999999999998] | 6.42577922854686 | [60.  67.5 75.  82.5 90. ] | [90.0, 7.5]
