State n. | Speed | Steer | location(x,y) | AngularSpeed | time 
18    |49.35696172291318   |-0.13611748814582825   |[4.997117102146149, 57.72832489013672]  |0.01715126819908619  |0.08147478103637695     
19    |46.72753917084467   |-0.13848970644176006   |[4.996332883834839, 58.66287612915039]  |0.02127038687467575  |0.06643557548522949     
20    |44.09812438026207   |-0.1389656960964203   |[4.99534946680069, 59.544837951660156]  |0.02597111463546753  |0.06493306159973145     
21    |41.4687312068235   |-0.13922306708991528   |[4.9941264390945435, 60.374210357666016]  |0.03124498575925827  |0.06573343276977539     
22    |38.839371662353614   |-0.19369423389434814   |[4.992609679698944, 61.150997161865234]  |0.03698393329977989  |0.06587362289428711     
23    |36.2101637912552   |-0.19299045205116272   |[4.990577340126038, 61.875197410583496]  |0.04847903549671173  |0.0653231143951416     
24    |33.14296802674081   |-0.19027160480618477   |[4.987504780292511, 62.53804969787598]  |0.25147315859794617  |0.06532931327819824     
25    |29.638403903051586   |-0.1839030534029007   |[4.983241319656372, 63.130799293518066]  |0.2345878779888153  |0.0654139518737793     
26    |26.137111210975654   |-0.21132716909050941   |[4.976322650909424, 63.653496742248535]  |0.226972296833992  |0.08104634284973145     
27    |23.963178106117475   |-0.1374666765332222   |[4.9636842012405396, 64.13259315490723]  |0.09116256237030029  |0.06729769706726074     
28    |24.167164617654937   |-0.2078711986541748   |[4.950262784957886, 64.61575412750244]  |0.0422176718711853  |0.06446552276611328     
29    |24.12621362386427   |-0.18307847902178764   |[4.93474143743515, 65.09802627563477]  |0.1252889335155487  |0.06418061256408691     
30    |24.133939997041864   |-0.18390024080872536   |[4.918626487255096, 65.5804386138916]  |0.08677796274423599  |0.06610584259033203     
31    |24.132375530329625   |-0.14547418802976608   |[4.90161657333374, 66.06278800964355]  |0.11452590674161911  |0.06566786766052246     
32    |24.132810727013112   |-0.12442914769053459   |[4.884440124034882, 66.54513931274414]  |0.08455732464790344  |0.06450653076171875     
